"methodId","total_garbage","minimum","maximum","number_times"
1739,1872,0,1872,1483
1743,0,0,0,8
1793,0,0,0,14
1795,0,0,0,27
1797,0,0,0,19
1798,0,0,0,8
1799,0,0,0,8
1800,0,0,0,8
1801,0,0,0,8
1802,0,0,0,10
1803,0,0,0,1
1806,0,0,0,16877
1807,0,0,0,4797
1808,0,0,0,9962
1809,0,0,0,14981
1810,0,0,0,2
1811,0,0,0,224
1812,0,0,0,1407
1813,0,0,0,1909
1814,0,0,0,14981
1815,0,0,0,6430
1817,0,0,0,2745
1818,3128,0,1312,48619
1819,0,0,0,55049
1820,227232,0,400,195206
1821,0,0,0,3
1822,0,0,0,2360
1823,0,0,0,6315
1824,0,0,0,118046
1825,3000,0,3000,138624
1827,0,0,0,113795
1828,0,0,0,1897
1829,0,0,0,1897
1830,0,0,0,5017
1832,0,0,0,3124
1833,26488,0,56,695
1834,0,0,0,709
1835,0,0,0,4874
1836,0,0,0,48
1839,0,0,0,66724
1842,0,0,0,11655
1850,0,0,0,1013
1855,0,0,0,1874
1858,0,0,0,1909
1859,0,0,0,114063
1866,0,0,0,2
1873,56,56,0,1
1882,0,0,0,2
1890,0,0,0,3
1891,0,0,0,4
1896,0,0,0,25
1897,0,0,0,1888
1898,0,0,0,4
1919,0,0,0,3
1923,0,0,0,29871
1928,0,0,0,358
1930,0,0,0,7052
1932,0,0,0,7775
1934,0,0,0,13
1935,0,0,0,5
1940,0,0,0,42703
1942,0,0,0,238
1946,0,0,0,3
1949,0,0,0,3
1952,0,0,0,1
1953,0,0,0,1
1954,0,0,0,8
2005,0,0,0,12793
2028,0,0,0,28
2033,0,0,0,4
2040,0,0,0,1
2044,0,0,0,7
2053,0,0,0,3
2054,0,0,0,1
2055,0,0,0,4
2061,0,0,0,1
2067,0,0,0,28
2068,0,0,0,31
2079,0,0,0,13
2082,0,0,0,1445
2083,0,0,0,13
2084,816,0,168,13
2085,0,0,0,389
2086,0,0,0,71
2087,0,0,0,78
2088,0,0,0,1374
2095,0,0,0,10
2096,0,0,0,6
2097,0,0,0,10
2109,0,0,0,50
2110,0,0,0,26
2116,0,0,0,1
2121,0,0,0,12440
2122,0,0,0,7305
2127,0,0,0,5
2128,0,0,0,24
2130,0,0,0,5
2132,0,0,0,8819
